"Number",  "Sum"
1,  50086010
2,  50070738
3,  50092314
4,  50175107
5,  50157859
6,  50137862
7,  50114319
8,  50085836
9,  50053256
10,  50015837
11,  50146114
12,  51226816
13,  51200190
14,  51444681
15,  51409517
16,  51367547
17,  51318452
18,  51261645
19,  51659375
20,  51919128
21,  51899489
22,  51875421
23,  52085401
24,  52062803
25,  52049708
26,  52314208
27,  52281890
28,  52244036
29,  52199194
30,  52146142
31,  52115779
32,  52050155
33,  53140305
34,  53047769
35,  53688043


