Number;Sum
1;	50 086 010.38
2;	50 070 738.83
3;	50 092 314.02
4;	50 175 107.52
5;	50 157 859.27
6;	50 137 862.39
7;	50 114 319.06
8;	50 085 836.19
9;	50 053 256.37
10;50 015 837.50
11;50 146 114.16
12;51 226 816.49
13;51 200 190.34
14;51 444 681.99
15;51 409 517.84
16;51 367 547.79
17;51 318 452.38
18;51 261 645.14
19;51 659 375.33
20;51 919 128.08
21;51 899 489.36
22;51 875 421.39
23;52 085 401.94
24;52 062 803.24
25;52 049 708.62
26;52 314 208.57
27;52 281 890.99
28;52 244 036.41
29;52 199 194.69
30;52 146 142.90
31;52 115 779.68
32;52 050 155.46
33;53 140 305.37
34;53 047 769.36
35;53 688 043.45
